city_tier,first_platform_c,first_utm_medium_c,first_utm_source_c,total_leads_droppped,referred_lead,assistance_interaction,career_interaction,payment_interaction,social_interaction,syllabus_interaction,app_complete_flag
3.0,Level0,Level0,Level0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,Level0,Level0,Level0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,Level0,Level2,Level2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,Level3,others,Level16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,Level3,Level0,Level0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,Level3,Level0,Level0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.0,Level0,Level2,Level2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,Level8,Level20,Level14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,Level7,Level8,Level2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.0,Level8,Level4,Level2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,Level0,Level4,Level2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2.0,Level0,Level2,Level2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,Level0,Level4,Level2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,Level2,Level2,Level2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,Level0,Level9,Level2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.0,Level2,Level16,Level2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.0,Level1,others,Level4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,Level7,Level6,Level5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.0,Level0,Level0,Level0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,Level0,Level9,Level2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.0,Level2,Level2,Level2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,Level0,Level6,Level7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,Level7,Level4,Level2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,Level1,Level5,Level4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,Level0,Level3,Level6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,Level2,Level6,Level7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,Level0,Level6,Level7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2.0,Level3,Level0,Level0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,Level7,Level0,Level0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.0,Level0,Level6,Level7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,others,Level6,Level5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.0,Level0,Level2,Level2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.0,others,others,Level6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,Level2,others,others,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,Level8,Level13,others,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,Level0,Level2,Level2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,Level7,Level0,Level0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.0,Level0,Level2,Level2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,Level0,Level8,Level2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,Level1,others,others,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,Level2,Level2,Level2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,Level1,Level5,Level4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,Level7,Level4,Level2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,Level0,Level11,Level2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.0,Level7,Level11,Level2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,Level0,Level2,Level2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,Level3,Level3,Level16,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,Level7,Level2,Level2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.0,others,Level30,Level0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.0,Level0,Level4,Level2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,Level2,Level6,Level7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3.0,Level0,Level11,Level2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,Level0,Level2,Level2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2.0,Level0,Level4,Level2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
